dataset,method,repetition,repetition_name,idx,threshold,average_precision
PV_in_HC,cellpose,2,cyto,1237,0.8,0.5
PV_in_HC,cellpose,2,cyto,1237,0.85,0.2857143
PV_in_HC,cellpose,2,cyto,1237,0.8999999999999999,0.2857143
PV_in_HC,cellpose,2,cyto,1237,0.95,0.0
PV_in_HC,cellpose,2,cyto,1283,0.5,0.45454547
PV_in_HC,cellpose,2,cyto,1283,0.55,0.45454547
PV_in_HC,cellpose,2,cyto,1283,0.6,0.45454547
PV_in_HC,cellpose,2,cyto,1283,0.65,0.45454547
PV_in_HC,cellpose,2,cyto,1283,0.7,0.45454547
PV_in_HC,cellpose,2,cyto,1283,0.75,0.45454547
PV_in_HC,cellpose,2,cyto,1283,0.8,0.45454547
PV_in_HC,cellpose,2,cyto,1283,0.85,0.33333334
PV_in_HC,cellpose,2,cyto,1283,0.8999999999999999,0.14285715
PV_in_HC,cellpose,2,cyto,1283,0.95,0.0
PV_in_HC,cellpose,2,cyto,1377,0.5,0.65789473
PV_in_HC,cellpose,2,cyto,1377,0.55,0.65789473
PV_in_HC,cellpose,2,cyto,1377,0.6,0.65789473
PV_in_HC,cellpose,2,cyto,1377,0.65,0.65789473
PV_in_HC,cellpose,2,cyto,1377,0.7,0.65789473
PV_in_HC,cellpose,2,cyto,1377,0.75,0.61538464
PV_in_HC,cellpose,2,cyto,1377,0.8,0.61538464
PV_in_HC,cellpose,2,cyto,1377,0.85,0.4318182
PV_in_HC,cellpose,2,cyto,1377,0.8999999999999999,0.16666667
PV_in_HC,cellpose,2,cyto,1377,0.95,0.0
PV_in_HC,cellpose,2,cyto,1385,0.5,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.55,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.6,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.65,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.7,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.75,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.8,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.85,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.8999999999999999,0.27272728
PV_in_HC,cellpose,2,cyto,1385,0.95,0.0
PV_in_HC,cellpose,2,cyto,1418,0.5,0.8333333
PV_in_HC,cellpose,2,cyto,1418,0.55,0.8333333
PV_in_HC,cellpose,2,cyto,1418,0.6,0.7906977
PV_in_HC,cellpose,2,cyto,1418,0.65,0.7906977
PV_in_HC,cellpose,2,cyto,1418,0.7,0.75
PV_in_HC,cellpose,2,cyto,1418,0.75,0.75
PV_in_HC,cellpose,2,cyto,1418,0.8,0.6041667
PV_in_HC,cellpose,2,cyto,1418,0.85,0.50980395
PV_in_HC,cellpose,2,cyto,1418,0.8999999999999999,0.24193548
PV_in_HC,cellpose,2,cyto,1418,0.95,0.0
PV_in_HC,cellpose,2,cyto,1444,0.5,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.55,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.6,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.65,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.7,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.75,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.8,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.85,0.9047619
PV_in_HC,cellpose,2,cyto,1444,0.8999999999999999,0.53846157
PV_in_HC,cellpose,2,cyto,1444,0.95,0.0
PV_in_HC,cellpose,2,cyto,1582,0.5,0.78571427
PV_in_HC,cellpose,2,cyto,1582,0.55,0.78571427
PV_in_HC,cellpose,2,cyto,1582,0.6,0.78571427
PV_in_HC,cellpose,2,cyto,1582,0.65,0.78571427
PV_in_HC,cellpose,2,cyto,1582,0.7,0.78571427
PV_in_HC,cellpose,2,cyto,1582,0.75,0.7241379
PV_in_HC,cellpose,2,cyto,1582,0.8,0.7241379
PV_in_HC,cellpose,2,cyto,1582,0.85,0.61290324
PV_in_HC,cellpose,2,cyto,1582,0.8999999999999999,0.31578946
PV_in_HC,cellpose,2,cyto,1582,0.95,0.0
PV_in_HC,cellpose,2,cyto,1599,0.5,0.9
